,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Recall Entailment,Precision Non-Entailment,Recall Non-Entailment
causative,0.5174418604651163,0.46451612903225814,0.5608465608465608,0.5217391304347826,0.4186046511627907,0.5145631067961165,0.6162790697674418
dative,0.5901639344262295,0.5,0.6527777777777777,0.6410256410256411,0.4098360655737705,0.5662650602409639,0.7704918032786885
benefactive,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.2222222222222222,0.5333333333333333,0.8888888888888888
locative,0.75,0.75,0.75,0.75,0.75,0.75,0.75
creation and transformation,0.7916666666666666,0.761904761904762,0.8148148148148148,0.8888888888888888,0.6666666666666666,0.7333333333333333,0.9166666666666666
fulfilling,0.7777777777777778,0.7142857142857143,0.8181818181818181,1.0,0.5555555555555556,0.6923076923076923,1.0
image impression,0.8125,0.7692307692307693,0.8421052631578948,1.0,0.625,0.7272727272727273,1.0
with/against,0.5714285714285714,0.3333333333333333,0.6842105263157894,0.75,0.21428571428571427,0.5416666666666666,0.9285714285714286
