,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Recall Entailment,Precision Non-Entailment,Recall Non-Entailment
causative,0.7093023255813954,0.766355140186916,0.6153846153846153,0.640625,0.9534883720930233,0.9090909090909091,0.46511627906976744
dative,0.8524590163934426,0.8636363636363635,0.8392857142857142,0.8028169014084507,0.9344262295081968,0.9215686274509803,0.7704918032786885
benefactive,0.7638888888888888,0.7792207792207793,0.746268656716418,0.7317073170731707,0.8333333333333334,0.8064516129032258,0.6944444444444444
locative,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
creation and transformation,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fulfilling,0.9444444444444444,0.9473684210526316,0.9411764705882353,0.9,1.0,1.0,0.8888888888888888
image impression,0.875,0.8571428571428571,0.888888888888889,1.0,0.75,0.8,1.0
with/against,0.8928571428571429,0.888888888888889,0.896551724137931,0.9230769230769231,0.8571428571428571,0.8666666666666667,0.9285714285714286
