,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Recall Entailment,Precision Non-Entailment,Recall Non-Entailment
causative,0.5290697674418605,0.5149700598802395,0.5423728813559322,0.5308641975308642,0.5,0.5274725274725275,0.5581395348837209
dative,0.6721311475409836,0.6153846153846153,0.7142857142857143,0.7441860465116279,0.5245901639344263,0.6329113924050633,0.819672131147541
benefactive,0.6111111111111112,0.5483870967741936,0.6585365853658538,0.6538461538461539,0.4722222222222222,0.5869565217391305,0.75
locative,0.8125,0.7999999999999999,0.823529411764706,0.8571428571428571,0.75,0.7777777777777778,0.875
creation and transformation,0.75,0.7000000000000001,0.7857142857142857,0.875,0.5833333333333334,0.6875,0.9166666666666666
fulfilling,0.7777777777777778,0.7142857142857143,0.8181818181818181,1.0,0.5555555555555556,0.6923076923076923,1.0
image impression,0.625,0.5,0.7000000000000001,0.75,0.375,0.5833333333333334,0.875
with/against,0.6071428571428571,0.4210526315789473,0.7027027027027025,0.8,0.2857142857142857,0.5652173913043478,0.9285714285714286
