,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Recall Entailment,Precision Non-Entailment,Recall Non-Entailment
causative,0.6322674418604651,0.7173184357541901,0.474012474012474,0.5825771324863884,0.9331395348837209,0.8321167883211679,0.3313953488372093
dative,0.805327868852459,0.8263254113345522,0.7785547785547786,0.7458745874587459,0.9262295081967213,0.9027027027027027,0.6844262295081968
benefactive,0.6666666666666666,0.7142857142857143,0.6,0.625,0.8333333333333334,0.75,0.5
locative,0.9583333333333334,0.9600000000000001,0.9565217391304348,0.9230769230769231,1.0,1.0,0.9166666666666666
creation and transformation,0.9166666666666666,0.9111111111111111,0.9215686274509804,0.9761904761904762,0.8541666666666666,0.8703703703703703,0.9791666666666666
fulfilling,0.875,0.883116883116883,0.8656716417910448,0.8292682926829268,0.9444444444444444,0.9354838709677419,0.8055555555555556
image impression,0.828125,0.8,0.8493150684931506,0.9565217391304348,0.6875,0.7560975609756098,0.96875
with/against,0.9017857142857143,0.8990825688073395,0.9043478260869564,0.9245283018867925,0.875,0.8813559322033898,0.9285714285714286
