,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Recall Entailment,Precision Non-Entailment,Recall Non-Entailment
causative,0.47674418604651164,0.5662650602409639,0.34065934065934067,0.4835390946502058,0.6831395348837209,0.4603960396039604,0.2703488372093023
dative,0.6516393442622951,0.6398305084745761,0.6626984126984128,0.6622807017543859,0.6188524590163934,0.6423076923076924,0.6844262295081968
benefactive,0.53125,0.49056603773584906,0.5659163987138264,0.5371900826446281,0.4513888888888889,0.5269461077844312,0.6111111111111112
locative,0.765625,0.7715736040609136,0.7593582887700535,0.7524752475247525,0.7916666666666666,0.7802197802197802,0.7395833333333334
creation and transformation,0.84375,0.8275862068965517,0.8571428571428572,0.9230769230769231,0.75,0.7894736842105263,0.9375
fulfilling,0.5972222222222222,0.6233766233766234,0.5671641791044777,0.5853658536585366,0.6666666666666666,0.6129032258064516,0.5277777777777778
image impression,0.765625,0.7619047619047619,0.7692307692307692,0.7741935483870968,0.75,0.7575757575757576,0.78125
with/against,0.6785714285714286,0.6086956521739131,0.7272727272727273,0.7777777777777778,0.5,0.631578947368421,0.8571428571428571
