Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.5203488372093024,0.6680080482897385,0.13612565445026178,0.5107692307692308,0.6842105263157895,0.9651162790697675,0.0755813953488372
dative,0.7520491803278688,0.793162393162393,0.690537084398977,0.6803519061583577,0.9183673469387755,0.9508196721311475,0.5532786885245902
benefactive,0.6111111111111112,0.6923076923076924,0.4716981132075472,0.5727272727272728,0.7352941176470589,0.875,0.3472222222222222
locative,0.8958333333333334,0.9056603773584906,0.8837209302325582,0.8275862068965517,1.0,1.0,0.7916666666666666
creation and transformation,0.71875,0.7768595041322315,0.619718309859155,0.6438356164383562,0.9565217391304348,0.9791666666666666,0.4583333333333333
fulfilling,0.7361111111111112,0.7865168539325842,0.6545454545454545,0.660377358490566,0.9473684210526315,0.9722222222222222,0.5
image impression,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
with/against,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
