Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.4956395348837209,0.6627793974732751,0.0,0.4978102189781022,0.0,0.9912790697674418,0.0
dative,0.6331967213114754,0.6950596252129473,0.5398457583547558,0.5947521865889213,0.7241379310344828,0.8360655737704918,0.430327868852459
benefactive,0.4548611111111111,0.5527065527065527,0.3022222222222223,0.46859903381642515,0.41975308641975306,0.6736111111111112,0.2361111111111111
locative,0.7083333333333334,0.7741935483870968,0.5882352941176471,0.631578947368421,1.0,1.0,0.4166666666666667
creation and transformation,0.6041666666666666,0.6885245901639344,0.4571428571428572,0.5675675675675675,0.7272727272727273,0.875,0.3333333333333333
fulfilling,0.5972222222222222,0.7070707070707072,0.3555555555555555,0.5555555555555556,0.8888888888888888,0.9722222222222222,0.2222222222222222
image impression,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
with/against,0.49107142857142855,0.6586826347305389,0.0,0.4954954954954955,0.0,0.9821428571428571,0.0
