Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.5188953488372093,0.6639593908629442,0.1534526854219949,0.5101404056162246,0.6382978723404256,0.9505813953488372,0.0872093023255814
dative,0.6659836065573771,0.7165217391304348,0.5935162094763093,0.622356495468278,0.7579617834394905,0.8442622950819673,0.48770491803278687
benefactive,0.5381944444444444,0.6545454545454547,0.3036649214659686,0.5228215767634855,0.6170212765957447,0.875,0.2013888888888889
locative,0.8177083333333334,0.8458149779735683,0.7770700636942676,0.732824427480916,1.0,1.0,0.6354166666666666
creation and transformation,0.8229166666666666,0.8440366972477064,0.7951807228915663,0.7540983606557377,0.9428571428571428,0.9583333333333334,0.6875
fulfilling,0.7222222222222222,0.7777777777777778,0.6296296296296297,0.6481481481481481,0.9444444444444444,0.9722222222222222,0.4722222222222222
image impression,0.515625,0.6736842105263158,0.06060606060606061,0.5079365079365079,1.0,1.0,0.03125
with/against,0.4732142857142857,0.6424242424242425,0.0,0.48623853211009177,0.0,0.9464285714285714,0.0
