Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.6337209302325582,0.7278617710583154,0.44,0.5790378006872853,0.9339622641509434,0.9796511627906976,0.2877906976744186
dative,0.8709016393442623,0.8776699029126214,0.8633405639913233,0.8339483394833949,0.9170506912442397,0.9262295081967213,0.8155737704918032
benefactive,0.6215277777777778,0.706199460916442,0.46829268292682924,0.5770925110132159,0.7868852459016393,0.9097222222222222,0.3333333333333333
locative,0.8958333333333334,0.9056603773584906,0.8837209302325582,0.8275862068965517,1.0,1.0,0.7916666666666666
creation and transformation,0.9166666666666666,0.9215686274509804,0.9111111111111111,0.8703703703703703,0.9761904761904762,0.9791666666666666,0.8541666666666666
fulfilling,0.8055555555555556,0.8333333333333333,0.7666666666666666,0.7291666666666666,0.9583333333333334,0.9722222222222222,0.6388888888888888
image impression,0.53125,0.6808510638297872,0.11764705882352941,0.5161290322580645,1.0,1.0,0.0625
with/against,0.5892857142857143,0.7051282051282052,0.32352941176470584,0.55,0.9166666666666666,0.9821428571428571,0.19642857142857142
