Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.5174418604651163,0.6719367588932806,0.0879120879120879,0.5089820359281437,0.8,0.9883720930232558,0.046511627906976744
dative,0.6147540983606558,0.6690140845070423,0.5392156862745098,0.5864197530864198,0.6707317073170732,0.7786885245901639,0.45081967213114754
benefactive,0.4722222222222222,0.5935828877005348,0.24752475247524755,0.4826086956521739,0.43103448275862066,0.7708333333333334,0.1736111111111111
locative,0.828125,0.8533333333333333,0.7924528301886793,0.7441860465116279,1.0,1.0,0.65625
creation and transformation,0.7083333333333334,0.7586206896551724,0.631578947368421,0.6470588235294118,0.8571428571428571,0.9166666666666666,0.5
fulfilling,0.7361111111111112,0.7865168539325842,0.6545454545454545,0.660377358490566,0.9473684210526315,0.9722222222222222,0.5
image impression,0.515625,0.6736842105263158,0.06060606060606061,0.5079365079365079,1.0,1.0,0.03125
with/against,0.4642857142857143,0.6341463414634146,0.0,0.48148148148148145,0.0,0.9285714285714286,0.0
