,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Recall Entailment,Precision Non-Entailment,Recall Non-Entailment
causative,0.75,0.7942583732057418,0.6814814814814815,0.6747967479674797,0.9651162790697675,0.9387755102040817,0.5348837209302325
dative,0.8524590163934426,0.8636363636363635,0.8392857142857142,0.8028169014084507,0.9344262295081968,0.9215686274509803,0.7704918032786885
benefactive,0.75,0.7906976744186047,0.6896551724137931,0.68,0.9444444444444444,0.9090909090909091,0.5555555555555556
locative,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
creation and transformation,0.9583333333333334,0.9565217391304348,0.9600000000000001,1.0,0.9166666666666666,0.9230769230769231,1.0
fulfilling,0.8888888888888888,0.9,0.8750000000000001,0.8181818181818182,1.0,1.0,0.7777777777777778
image impression,0.875,0.8571428571428571,0.888888888888889,1.0,0.75,0.8,1.0
with/against,0.8928571428571429,0.888888888888889,0.896551724137931,0.9230769230769231,0.8571428571428571,0.8666666666666667,0.9285714285714286
