Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.4941860465116279,0.6614785992217899,0.0,0.49707602339181284,0.0,0.9883720930232558,0.0
dative,0.6639344262295082,0.7050359712230215,0.6095238095238097,0.6282051282051282,0.7272727272727273,0.8032786885245902,0.5245901639344263
benefactive,0.4583333333333333,0.5617977528089889,0.2909090909090909,0.4716981132075472,0.42105263157894735,0.6944444444444444,0.2222222222222222
locative,0.7291666666666666,0.7868852459016393,0.6285714285714286,0.6486486486486487,1.0,1.0,0.4583333333333333
creation and transformation,0.5833333333333334,0.6874999999999999,0.375,0.55,0.75,0.9166666666666666,0.25
fulfilling,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
image impression,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
with/against,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
