Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.7441860465116279,0.794392523364486,0.6615384615384615,0.6640625,0.9772727272727273,0.9883720930232558,0.5
dative,0.9426229508196722,0.9421487603305784,0.943089430894309,0.95,0.9354838709677419,0.9344262295081968,0.9508196721311475
benefactive,0.6666666666666666,0.7499999999999999,0.5,0.6,1.0,1.0,0.3333333333333333
locative,0.9375,0.9411764705882353,0.9333333333333333,0.8888888888888888,1.0,1.0,0.875
creation and transformation,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fulfilling,0.8888888888888888,0.9,0.8750000000000001,0.8181818181818182,1.0,1.0,0.7777777777777778
image impression,0.5625,0.6956521739130436,0.2222222222222222,0.5333333333333333,1.0,1.0,0.125
with/against,0.5714285714285714,0.7000000000000001,0.25,0.5384615384615384,1.0,1.0,0.14285714285714285
