Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.5813953488372093,0.7024793388429752,0.29411764705882354,0.5448717948717948,0.9375,0.9883720930232558,0.1744186046511628
dative,0.6967213114754098,0.7131782945736433,0.6782608695652174,0.6764705882352942,0.7222222222222222,0.7540983606557377,0.639344262295082
benefactive,0.5,0.6170212765957447,0.28,0.5,0.5,0.8055555555555556,0.19444444444444445
locative,0.8541666666666666,0.8727272727272727,0.8292682926829268,0.7741935483870968,1.0,1.0,0.7083333333333334
creation and transformation,0.7083333333333334,0.7586206896551724,0.631578947368421,0.6470588235294118,0.8571428571428571,0.9166666666666666,0.5
fulfilling,0.6111111111111112,0.72,0.3636363636363636,0.5625,1.0,1.0,0.2222222222222222
image impression,0.5625,0.6956521739130436,0.2222222222222222,0.5333333333333333,1.0,1.0,0.125
with/against,0.5357142857142857,0.6666666666666666,0.23529411764705882,0.52,0.6666666666666666,0.9285714285714286,0.14285714285714285
