Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.5755813953488372,0.6919831223628692,0.31775700934579443,0.543046357615894,0.8095238095238095,0.9534883720930233,0.19767441860465115
dative,0.7131147540983607,0.7682119205298014,0.6236559139784946,0.6444444444444445,0.90625,0.9508196721311475,0.47540983606557374
benefactive,0.5416666666666666,0.6857142857142856,0.15384615384615385,0.5217391304347826,1.0,1.0,0.08333333333333333
locative,0.75,0.8,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5
creation and transformation,0.9583333333333334,0.9600000000000001,0.9565217391304348,0.9230769230769231,1.0,1.0,0.9166666666666666
fulfilling,0.5555555555555556,0.6923076923076924,0.19999999999999998,0.5294117647058824,1.0,1.0,0.1111111111111111
image impression,0.5625,0.6956521739130436,0.2222222222222222,0.5333333333333333,1.0,1.0,0.125
with/against,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
