Alternation,Accuracy,F1 Entailment,F1 Non-Entailment,Precision Entailment,Precision Non-Entailment,Recall Entailment,Recall Non-Entailment
causative,0.5755813953488372,0.6945606694560669,0.3047619047619048,0.5424836601307189,0.8421052631578947,0.9651162790697675,0.18604651162790697
dative,0.7950819672131147,0.8275862068965518,0.7474747474747474,0.7142857142857143,0.9736842105263158,0.9836065573770492,0.6065573770491803
benefactive,0.6388888888888888,0.711111111111111,0.5185185185185185,0.5925925925925926,0.7777777777777778,0.8888888888888888,0.3888888888888889
locative,0.8333333333333334,0.8571428571428571,0.8,0.75,1.0,1.0,0.6666666666666666
creation and transformation,0.7916666666666666,0.8275862068965517,0.7368421052631579,0.7058823529411765,1.0,1.0,0.5833333333333334
fulfilling,0.6111111111111112,0.72,0.3636363636363636,0.5625,1.0,1.0,0.2222222222222222
image impression,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
with/against,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0
